IP地址,数据中心,地区,城市,网络延迟
172.64.229.148,NRT,亚太地区,东京,109 ms
104.19.50.25,SJC,北美洲,圣何塞,127 ms
104.19.37.217,SJC,北美洲,圣何塞,128 ms
104.18.60.110,SJC,北美洲,圣何塞,128 ms
104.19.85.35,SJC,北美洲,圣何塞,128 ms
104.19.11.239,SJC,北美洲,圣何塞,129 ms
104.19.13.31,SJC,北美洲,圣何塞,129 ms
104.19.51.148,SJC,北美洲,圣何塞,129 ms
104.19.91.254,SJC,北美洲,圣何塞,129 ms
104.19.35.173,SJC,北美洲,圣何塞,130 ms
104.18.51.240,SJC,北美洲,圣何塞,130 ms
104.18.59.76,SJC,北美洲,圣何塞,131 ms
104.19.114.224,SJC,北美洲,圣何塞,131 ms
104.19.24.26,SJC,北美洲,圣何塞,131 ms
104.19.108.136,SJC,北美洲,圣何塞,131 ms
104.19.7.236,SJC,北美洲,圣何塞,131 ms
104.19.127.218,SJC,北美洲,圣何塞,132 ms
104.19.102.78,SJC,北美洲,圣何塞,132 ms
141.101.120.188,SJC,北美洲,圣何塞,132 ms
104.19.103.118,SJC,北美洲,圣何塞,132 ms
104.19.52.35,SJC,北美洲,圣何塞,132 ms
104.19.93.70,SJC,北美洲,圣何塞,132 ms
104.19.39.25,SJC,北美洲,圣何塞,133 ms
104.19.92.25,SJC,北美洲,圣何塞,133 ms
104.19.67.211,SJC,北美洲,圣何塞,133 ms
104.19.28.88,SJC,北美洲,圣何塞,134 ms
104.19.119.91,SJC,北美洲,圣何塞,135 ms
104.19.120.81,SJC,北美洲,圣何塞,137 ms
104.16.125.97,LAX,北美洲,洛杉矶,138 ms
104.19.254.215,LAX,北美洲,洛杉矶,138 ms
104.16.114.245,LAX,北美洲,洛杉矶,138 ms
104.19.60.240,SJC,北美洲,圣何塞,139 ms
104.18.177.207,SJC,北美洲,圣何塞,139 ms
104.18.24.19,LAX,北美洲,洛杉矶,139 ms
104.19.99.75,SJC,北美洲,圣何塞,140 ms
104.19.252.111,LAX,北美洲,洛杉矶,140 ms
141.101.123.29,SJC,北美洲,圣何塞,140 ms
104.18.50.215,SJC,北美洲,圣何塞,140 ms
104.19.62.1,SJC,北美洲,圣何塞,141 ms
104.18.57.35,SJC,北美洲,圣何塞,141 ms
104.19.33.40,SJC,北美洲,圣何塞,142 ms
104.18.63.2,SJC,北美洲,圣何塞,142 ms
104.17.85.110,SJC,北美洲,圣何塞,142 ms
104.19.44.115,SJC,北美洲,圣何塞,142 ms
104.18.16.137,LAX,北美洲,洛杉矶,142 ms
104.17.33.244,SJC,北美洲,圣何塞,142 ms
104.19.116.3,SJC,北美洲,圣何塞,143 ms
104.17.11.173,SJC,北美洲,圣何塞,143 ms
104.16.240.222,SJC,北美洲,圣何塞,143 ms
104.19.121.177,SJC,北美洲,圣何塞,144 ms
104.18.157.70,SJC,北美洲,圣何塞,144 ms
104.18.126.155,LAX,北美洲,洛杉矶,145 ms
104.19.79.219,SJC,北美洲,圣何塞,145 ms
104.18.120.120,LAX,北美洲,洛杉矶,145 ms
104.19.97.165,SJC,北美洲,圣何塞,145 ms
104.18.118.220,LAX,北美洲,洛杉矶,145 ms
104.19.241.116,LAX,北美洲,洛杉矶,146 ms
104.18.28.243,LAX,北美洲,洛杉矶,146 ms
104.19.3.103,SJC,北美洲,圣何塞,146 ms
104.19.251.31,LAX,北美洲,洛杉矶,146 ms
104.19.47.11,SJC,北美洲,圣何塞,146 ms
104.19.82.194,SJC,北美洲,圣何塞,146 ms
104.19.19.187,SJC,北美洲,圣何塞,146 ms
104.19.56.50,SJC,北美洲,圣何塞,146 ms
104.16.122.216,LAX,北美洲,洛杉矶,146 ms
104.19.105.173,SJC,北美洲,圣何塞,146 ms
104.19.21.170,SJC,北美洲,圣何塞,146 ms
104.19.57.69,SJC,北美洲,圣何塞,146 ms
104.19.23.45,SJC,北美洲,圣何塞,147 ms
104.19.63.165,SJC,北美洲,圣何塞,147 ms
104.19.78.131,SJC,北美洲,圣何塞,147 ms
104.19.126.182,SJC,北美洲,圣何塞,147 ms
104.18.30.251,LAX,北美洲,洛杉矶,147 ms
104.16.113.35,LAX,北美洲,洛杉矶,147 ms
104.19.70.120,SJC,北美洲,圣何塞,147 ms
104.18.52.222,SJC,北美洲,圣何塞,147 ms
104.19.250.216,LAX,北美洲,洛杉矶,147 ms
104.19.117.225,SJC,北美洲,圣何塞,147 ms
104.19.86.162,SJC,北美洲,圣何塞,147 ms
104.19.31.112,SJC,北美洲,圣何塞,147 ms
104.19.115.182,SJC,北美洲,圣何塞,148 ms
104.19.81.229,SJC,北美洲,圣何塞,148 ms
104.19.14.129,SJC,北美洲,圣何塞,148 ms
104.19.36.44,SJC,北美洲,圣何塞,148 ms
104.19.73.134,SJC,北美洲,圣何塞,148 ms
104.19.246.243,LAX,北美洲,洛杉矶,148 ms
104.19.107.153,SJC,北美洲,圣何塞,148 ms
104.19.40.168,SJC,北美洲,圣何塞,148 ms
104.19.46.139,SJC,北美洲,圣何塞,148 ms
104.19.54.109,SJC,北美洲,圣何塞,148 ms
173.245.49.43,SJC,北美洲,圣何塞,148 ms
104.19.32.189,SJC,北美洲,圣何塞,148 ms
104.19.48.130,SJC,北美洲,圣何塞,148 ms
104.18.114.38,LAX,北美洲,洛杉矶,149 ms
104.19.124.156,SJC,北美洲,圣何塞,149 ms
104.18.18.67,LAX,北美洲,洛杉矶,149 ms
